Step number : 1000
x = 0.235, y = -0.47481, yExact = -0.47477, Relative Error : 8.100e-05
x = 0.236, y = -0.47234, yExact = -0.47230, Relative Error : 8.176e-05
x = 0.237, y = -0.46987, yExact = -0.46983, Relative Error : 8.252e-05
x = 0.238, y = -0.46739, yExact = -0.46736, Relative Error : 8.330e-05
x = 0.239, y = -0.46492, yExact = -0.46488, Relative Error : 8.408e-05
x = 0.240, y = -0.46244, yExact = -0.46240, Relative Error : 8.487e-05
x = 0.241, y = -0.45996, yExact = -0.45992, Relative Error : 8.567e-05
x = 0.242, y = -0.45748, yExact = -0.45744, Relative Error : 8.648e-05
x = 0.243, y = -0.45499, yExact = -0.45495, Relative Error : 8.730e-05
x = 0.244, y = -0.45250, yExact = -0.45246, Relative Error : 8.812e-05
x = 0.245, y = -0.45002, yExact = -0.44997, Relative Error : 8.896e-05
x = 0.246, y = -0.44752, yExact = -0.44748, Relative Error : 8.980e-05
x = 0.247, y = -0.44503, yExact = -0.44499, Relative Error : 9.066e-05
x = 0.248, y = -0.44254, yExact = -0.44250, Relative Error : 9.153e-05
x = 0.249, y = -0.44004, yExact = -0.44000, Relative Error : 9.240e-05
x = 0.250, y = -0.43754, yExact = -0.43750, Relative Error : 9.329e-05
x = 0.251, y = -0.43504, yExact = -0.43500, Relative Error : 9.418e-05
x = 0.252, y = -0.43254, yExact = -0.43250, Relative Error : 9.509e-05
x = 0.253, y = -0.43003, yExact = -0.42999, Relative Error : 9.601e-05
x = 0.254, y = -0.42753, yExact = -0.42748, Relative Error : 9.693e-05
x = 0.255, y = -0.42502, yExact = -0.42497, Relative Error : 9.787e-05
x = 0.256, y = -0.42251, yExact = -0.42246, Relative Error : 9.882e-05
x = 0.257, y = -0.41999, yExact = -0.41995, Relative Error : 9.979e-05
x = 0.258, y = -0.41748, yExact = -0.41744, Relative Error : 1.008e-04
x = 0.259, y = -0.41496, yExact = -0.41492, Relative Error : 1.017e-04
x = 0.260, y = -0.41244, yExact = -0.41240, Relative Error : 1.027e-04
x = 0.261, y = -0.40992, yExact = -0.40988, Relative Error : 1.038e-04
x = 0.262, y = -0.40740, yExact = -0.40736, Relative Error : 1.048e-04
x = 0.263, y = -0.40487, yExact = -0.40483, Relative Error : 1.058e-04
x = 0.264, y = -0.40235, yExact = -0.40230, Relative Error : 1.069e-04
x = 0.265, y = -0.39982, yExact = -0.39977, Relative Error : 1.079e-04
x = 0.266, y = -0.39729, yExact = -0.39724, Relative Error : 1.090e-04
x = 0.267, y = -0.39475, yExact = -0.39471, Relative Error : 1.101e-04
x = 0.268, y = -0.39222, yExact = -0.39218, Relative Error : 1.112e-04
x = 0.269, y = -0.38968, yExact = -0.38964, Relative Error : 1.123e-04
x = 0.270, y = -0.38714, yExact = -0.38710, Relative Error : 1.135e-04
x = 0.271, y = -0.38460, yExact = -0.38456, Relative Error : 1.146e-04
x = 0.272, y = -0.38206, yExact = -0.38202, Relative Error : 1.158e-04
x = 0.273, y = -0.37952, yExact = -0.37947, Relative Error : 1.170e-04
x = 0.274, y = -0.37697, yExact = -0.37692, Relative Error : 1.182e-04
x = 0.275, y = -0.37442, yExact = -0.37437, Relative Error : 1.194e-04
x = 0.276, y = -0.37187, yExact = -0.37182, Relative Error : 1.206e-04
x = 0.277, y = -0.36932, yExact = -0.36927, Relative Error : 1.219e-04
x = 0.278, y = -0.36676, yExact = -0.36672, Relative Error : 1.231e-04
x = 0.279, y = -0.36420, yExact = -0.36416, Relative Error : 1.244e-04
x = 0.280, y = -0.36165, yExact = -0.36160, Relative Error : 1.257e-04
x = 0.281, y = -0.35908, yExact = -0.35904, Relative Error : 1.271e-04
x = 0.282, y = -0.35652, yExact = -0.35648, Relative Error : 1.284e-04
x = 0.283, y = -0.35396, yExact = -0.35391, Relative Error : 1.298e-04
x = 0.284, y = -0.35139, yExact = -0.35134, Relative Error : 1.312e-04
x = 0.285, y = -0.34882, yExact = -0.34877, Relative Error : 1.326e-04
x = 0.286, y = -0.34625, yExact = -0.34620, Relative Error : 1.340e-04
x = 0.287, y = -0.34368, yExact = -0.34363, Relative Error : 1.354e-04
x = 0.288, y = -0.34110, yExact = -0.34106, Relative Error : 1.369e-04
x = 0.289, y = -0.33853, yExact = -0.33848, Relative Error : 1.384e-04
x = 0.290, y = -0.33595, yExact = -0.33590, Relative Error : 1.399e-04
x = 0.291, y = -0.33337, yExact = -0.33332, Relative Error : 1.415e-04
x = 0.292, y = -0.33078, yExact = -0.33074, Relative Error : 1.430e-04
x = 0.293, y = -0.32820, yExact = -0.32815, Relative Error : 1.446e-04
x = 0.294, y = -0.32561, yExact = -0.32556, Relative Error : 1.462e-04
x = 0.295, y = -0.32302, yExact = -0.32297, Relative Error : 1.479e-04
x = 0.296, y = -0.32043, yExact = -0.32038, Relative Error : 1.496e-04
x = 0.297, y = -0.31784, yExact = -0.31779, Relative Error : 1.513e-04
x = 0.298, y = -0.31524, yExact = -0.31520, Relative Error : 1.530e-04
x = 0.299, y = -0.31265, yExact = -0.31260, Relative Error : 1.547e-04
x = 0.300, y = -0.31005, yExact = -0.31000, Relative Error : 1.565e-04
x = 0.301, y = -0.30745, yExact = -0.30740, Relative Error : 1.584e-04
x = 0.302, y = -0.30484, yExact = -0.30480, Relative Error : 1.602e-04
x = 0.303, y = -0.30224, yExact = -0.30219, Relative Error : 1.621e-04
x = 0.304, y = -0.29963, yExact = -0.29958, Relative Error : 1.640e-04
x = 0.305, y = -0.29702, yExact = -0.29697, Relative Error : 1.660e-04
x = 0.306, y = -0.29441, yExact = -0.29436, Relative Error : 1.679e-04
x = 0.307, y = -0.29180, yExact = -0.29175, Relative Error : 1.700e-04
x = 0.308, y = -0.28919, yExact = -0.28914, Relative Error : 1.720e-04
x = 0.309, y = -0.28657, yExact = -0.28652, Relative Error : 1.741e-04
x = 0.310, y = -0.28395, yExact = -0.28390, Relative Error : 1.763e-04
x = 0.311, y = -0.28133, yExact = -0.28128, Relative Error : 1.784e-04
x = 0.312, y = -0.27871, yExact = -0.27866, Relative Error : 1.807e-04
x = 0.313, y = -0.27608, yExact = -0.27603, Relative Error : 1.829e-04
x = 0.314, y = -0.27345, yExact = -0.27340, Relative Error : 1.852e-04
x = 0.315, y = -0.27083, yExact = -0.27077, Relative Error : 1.876e-04
x = 0.316, y = -0.26819, yExact = -0.26814, Relative Error : 1.900e-04
x = 0.317, y = -0.26556, yExact = -0.26551, Relative Error : 1.924e-04
x = 0.318, y = -0.26293, yExact = -0.26288, Relative Error : 1.949e-04
x = 0.319, y = -0.26029, yExact = -0.26024, Relative Error : 1.975e-04
x = 0.320, y = -0.25765, yExact = -0.25760, Relative Error : 2.001e-04
x = 0.321, y = -0.25501, yExact = -0.25496, Relative Error : 2.028e-04
x = 0.322, y = -0.25237, yExact = -0.25232, Relative Error : 2.055e-04
x = 0.323, y = -0.24972, yExact = -0.24967, Relative Error : 2.083e-04
x = 0.324, y = -0.24708, yExact = -0.24702, Relative Error : 2.111e-04
x = 0.325, y = -0.24443, yExact = -0.24437, Relative Error : 2.140e-04
x = 0.326, y = -0.24178, yExact = -0.24172, Relative Error : 2.170e-04
x = 0.327, y = -0.23912, yExact = -0.23907, Relative Error : 2.200e-04
x = 0.328, y = -0.23647, yExact = -0.23642, Relative Error : 2.231e-04
x = 0.329, y = -0.23381, yExact = -0.23376, Relative Error : 2.263e-04
x = 0.330, y = -0.23115, yExact = -0.23110, Relative Error : 2.295e-04
x = 0.331, y = -0.22849, yExact = -0.22844, Relative Error : 2.328e-04
x = 0.332, y = -0.22583, yExact = -0.22578, Relative Error : 2.362e-04
x = 0.333, y = -0.22316, yExact = -0.22311, Relative Error : 2.397e-04
x = 0.334, y = -0.22050, yExact = -0.22044, Relative Error : 2.433e-04
x = 0.335, y = -0.21783, yExact = -0.21777, Relative Error : 2.470e-04
x = 0.336, y = -0.21516, yExact = -0.21510, Relative Error : 2.507e-04
x = 0.337, y = -0.21249, yExact = -0.21243, Relative Error : 2.546e-04
x = 0.338, y = -0.20981, yExact = -0.20976, Relative Error : 2.585e-04
x = 0.339, y = -0.20713, yExact = -0.20708, Relative Error : 2.626e-04
x = 0.340, y = -0.20445, yExact = -0.20440, Relative Error : 2.667e-04
x = 0.341, y = -0.20177, yExact = -0.20172, Relative Error : 2.710e-04
x = 0.342, y = -0.19909, yExact = -0.19904, Relative Error : 2.754e-04
x = 0.343, y = -0.19641, yExact = -0.19635, Relative Error : 2.799e-04
x = 0.344, y = -0.19372, yExact = -0.19366, Relative Error : 2.846e-04
x = 0.345, y = -0.19103, yExact = -0.19097, Relative Error : 2.894e-04
x = 0.346, y = -0.18834, yExact = -0.18828, Relative Error : 2.943e-04
x = 0.347, y = -0.18565, yExact = -0.18559, Relative Error : 2.993e-04
x = 0.348, y = -0.18295, yExact = -0.18290, Relative Error : 3.046e-04
x = 0.349, y = -0.18025, yExact = -0.18020, Relative Error : 3.099e-04
x = 0.350, y = -0.17756, yExact = -0.17750, Relative Error : 3.155e-04
x = 0.351, y = -0.17486, yExact = -0.17480, Relative Error : 3.212e-04
x = 0.352, y = -0.17215, yExact = -0.17210, Relative Error : 3.271e-04
x = 0.353, y = -0.16945, yExact = -0.16939, Relative Error : 3.332e-04
x = 0.354, y = -0.16674, yExact = -0.16668, Relative Error : 3.395e-04
x = 0.355, y = -0.16403, yExact = -0.16397, Relative Error : 3.460e-04
x = 0.356, y = -0.16132, yExact = -0.16126, Relative Error : 3.527e-04
x = 0.357, y = -0.15861, yExact = -0.15855, Relative Error : 3.596e-04
x = 0.358, y = -0.15589, yExact = -0.15584, Relative Error : 3.668e-04
